text	size
popular	16
pork	16
price	16
push	16
rather	16
rivals	16
road	16
shown	16
shows	16
turn	16
ventures	16
2013	15
4	15
accused	15
attention	15
australian	15
built	15
cold	15
concessions	15
conference	15
cooperation	15
corruption	15
created	15
crisis	15
detained	15
direct	15
dominate	15
electric	15
energy	15
facebook	15
focus	15
forced	15
frog	15
german	15
head	15
heavily	15
higher	15
makes	15
message	15
middle	15
moved	15
moves	15
mrs	15
must	15
nationalist	15
newspaper	15
offering	15
partner	15
partnership	15
personal	15
process	15
raised	15
raising	15
reason	15
resolve	15
robert	15
russia	15
saw	15
sectors	15
seemed	15
sell	15
shift	15
six	15
speech	15
spread	15
together	15
vietnam	15
water	15
2014	14
25	14
act	14
affect	14
air	14
allowed	14
ambitious	14
app	14
authoritarianism	14
catholicism	14
challenge	14
chen	14
children	14
civil	14
considerable	14
continue	14
coverage	14
culture	14
democratic	14
elsewhere	14
ever	14
expressed	14
four	14
gao	14
gas	14
gave	14
getting	14
highly	14
independence	14
india	14
intended	14
invest	14
mo	14
name	14
natural	14
premier	14
publicly	14
putting	14
real	14
released	14
religion	14
representative	14
review	14
scrutiny	14
semiconductors	14
sensitive	14
service	14
sign	14
similar	14
spokesman	14
stake	14
strategy	14
strengthen	14
television	14
theres	14
threats	14
tibet	14
tough	14
traditional	14
trip	14
w	14
wall	14
2015	13
5	13
address	13
advisers	13
agricultural	13
allowing	13
although	13
americas	13
argued	13
authority	13
bring	13
call	13
calls	13
changing	13
chip	13
chips	13
comes	13
comments	13
commercial	13
consumer	13
credit	13
customers	13
demand	13
develop	13
doesnt	13
everything	13
exchange	13
export	13
farmers	13
fear	13
finance	13
focused	13
francis	13
game	13
giants	13
heavy	13
hours	13
idea	13
impact	13
independent	13
initiative	13
job	13
journalists	13
leaving	13
lee	13
let	13
limited	13
lives	13
low	13
machines	13
mercedes	13
moving	13
non	13
path	13
planning	13
playing	13
practice	13
probably	13
progress	13
promised	13
propaganda	13
reach	13
reached	13
relatively	13
rome	13
running	13
rural	13
sea	13
secrets	13
sold	13
sometimes	13
soon	13
spent	13
students	13
target	13
thing	13
trend	13
unlikely	13
20	12
60	12
9	12
additional	12
ambassador	12
ambitions	12
amount	12
apple	12
approved	12
argument	12
belt	12
billions	12
blocked	12
broad	12
buying	12
calling	12
certain	12
certainly	12
chaos	12
co	12
coming	12
consider	12
decisions	12
deep	12
deeply	12
democracies	12
denied	12
direction	12
disputes	12
economist	12
either	12
electronics	12
equipment	12
ethnic	12
films	12
follow	12
form	12
germany	12
giant	12
gone	12
image	12
immelt	12
included	12
increasing	12
investor	12
jong	12
killed	12
kims	12
language	12
levels	12
line	12
london	12
losing	12
lot	12
march	12
mention	12
mindong	12
mnuchin	12
mobile	12
norths	12
operate	12
overall	12
perhaps	12
piece	12
presidency	12
presidential	12
published	12
rates	12
reasons	12
release	12
risks	12
san	12
series	12
short	12
soviet	12
subject	12
success	12
systems	12
targets	12
theft	12
thought	12
threatened	12
travel	12
ultimately	12
views	12
words	12
worked	12
zen	12
11	11
12	11
30	11
ability	11
able	11
acquire	11
acquisitions	11
agreements	11
aircraft	11
alone	11
along	11
always	11
amid	11
annual	11
anti	11
argue	11
army	11
aside	11
assets	11
astoria	11
available	11
avoid	11
behavior	11
blackstone	11
boeing	11
brand	11
brought	11
cases	11
charge	11
child	11
class	11
communists	11
community	11
competitive	11
competitors	11
concerned	11
conflict	11
cut	11
daily	11
death	11
deficit	11
devices	11
dialogue	11
dissent	11
drive	11
driving	11
ended	11
english	11
ensure	11
environmental	11
favor	11
festival	11
field	11
forces	11
french	11
friedman	11
full	11
gain	11
generation	11
globalization	11
got	11
grew	11
historical	11
hopes	11
hurt	11
j	11
january	11
legal	11
live	11
longtime	11
lose	11
mainland	11
manufacturers	11
member	11
meyer	11
microsoft	11
modern	11
nation	11
negotiate	11
october	11
operations	11
otherwise	11
pacific	11
park	11
possibility	11
press	11
prices	11
prison	11
promote	11
protection	11
protectionist	11
quarter	11
quickly	11
radio	11
recognition	11
reform	11
remain	11
republic	11
residents	11
resolution	11
rest	11
retaliate	11
roughly	11
scholar	11
school	11
securities	11
seeking	11
served	11
southern	11
speak	11
speed	11
spokeswoman	11
staff	11
started	11
status	11
tariff	11
uses	11
values	11
vehicles	11
version	11
waldorf	11
whatsapp	11
works	11
xinjiang	11
zhu	11
2008	10
adding	10
agenda	10
aggressive	10
ahead	10
aim	10
aims	10
allow	10
amazon	10
anyone	10
approval	10
backing	10
believed	10
bible	10
bonds	10
books	10
bought	10
care	10
censorship	10
challenges	10
chase	10
christianity	10
cited	10
cities	10
citing	10
clergy	10
closed	10
closely	10
complained	10
consensus	10
constitution	10
contrast	10
