text	size
cohen,trump	196
president,trump	125
donald,trump	117
cohen,donald	56
mueller,trump	51
trump,would	39
cohen,mueller	24
mueller,trumps	16
president,trumps	12
donald,president	11
donald,mueller	10
president,would	9
donald,trumps	6
trump,trumps	6
cohen,trumps	3
trumps,would	3
donald,would	2
mueller,would	2
cohen,president	1
mueller,president	1
