text	size
data,facebook	153
facebook,new	128
big,facebook	124
facebook,video	117
new,video	108
big,data	101
facebook,news	9
2,big	1
2,facebook	1
2,video	1
b,big	1
b,facebook	1
b,new	1
b,news	1
big,new	1
data,news	1
facebook,n	1
