text	size
yet	7
york	7
000	6
2011	6
20th	6
23	6
300	6
50	6
572	6
address	6
believe	6
bill	6
bob	6
books	6
border	6
breaks	6
brewing	6
capitalism	6
century	6
chart	6
chips	6
claim	6
companies	6
comprehensi	6
conservative	6
credit	6
developers	6
effect	6
failed	6
g	6
gain	6
gains	6
gigatons	6
girls	6
give	6
gmt	6
growing	6
guy	6
h	6
happens	6
helped	6
important	6
increasingl	6
indian	6
influence	6
interests	6
internet	6
left	6
less	6
leverage	6
lol	6
macos	6
makes	6
middle	6
nearly	6
neither	6
next	6
ni	6
nodes	6
north	6
officials	6
overlaid	6
p	6
party	6
pres	6
prez	6
quasi	6
rate	6
ready	6
really	6
reason	6
republic	6
rise	6
sanctions	6
saying	6
screenshots	6
social	6
spooked	6
thats	6
theft	6
thinly	6
thread	6
took	6
total	6
trying	6
understands	6
value	6
venture	6
weak	6
went	6
worlds	6
11	5
126	5
60b	5
7	5
account	5
administration	5
air	5
approach	5
ask	5
avoid	5
backbone	5
badly	5
bag	5
belt	5
billions	5
breitbart	5
buying	5
calls	5
coming	5
commerce	5
communism	5
confrontation	5
crap	5
dared	5
data	5
defends	5
democracy	5
different	5
dogs	5
done	5
door	5
due	5
east	5
elites	5
entity	5
falls	5
fear	5
fed	5
finally	5
five	5
gets	5
getting	5
gop	5
happen	5
hope	5
house	5
imports	5
inaugural	5
instead	5
intensify	5
investors	5
isnt	5
jeff	5
jobless	5
kind	5
leads	5
least	5
level	5
liked	5
live	5
lower	5
mark	5
maybe	5
mean	5
metals	5
mex	5
moves	5
msm	5
national	5
nations	5
nindia	5
nmexico	5
options	5
owe	5
pakistan	5
partner	5
percent	5
play	5
potential	5
presidency	5
private	5
raise	5
raising	5
ramp	5
reciprocaltrade	5
red	5
registered	5
response	5
secretary	5
shanghai	5
silk	5
small	5
solve	5
soon	5
speech	5
start	5
steal	5
strategy	5
sure	5
system	5
tarriff	5
tells	5
thank	5
together	5
tough	5
try	5
un	5
unsustainable	5
vicente	5
vietnam	5
wanted	5
white	5
wilburross	5
wont	5
worst	5
xi	5
xijinping	5
yes	5
youku	5
zero	5
10	4
200	4
2b	4
375	4
56	4
724	4
access	4
according	4
adding	4
administ	4
admits	4
agreement	4
alibaba	4
alone	4
alternative	4
aluminum	4
anti	4
anyway	4
apart	4
around	4
art	4
asia	4
attacks	4
away	4
awesome	4
banned	4
bear	4
benefit	4
billionaire	4
block	4
bolstering	4
brother	4
build	4
call	4
canada	4
capability	4
cars	4
cell	4
characteristics	4
chicken	4
completely	4
consumers	4
contract	4
correct	4
creating	4
crying	4
current	4
damages	4
deal	4
deals	4
democrats	4
department	4
dependent	4
diplomatic	4
dismantling	4
djia	4
dollars	4
dominat	4
e	4
economics	4
electron	4
energy	4
escalates	4
especially	4
etc	4
ex	4
example	4
explains	4
f	4
facts	4
feel	4
fellow	4
fighting	4
find	4
friends	4
full	4
future	4
giants	4
glass	4
goes	4
gonna	4
greatest	4
grow	4
grown	4
hal	4
hate	4
hedge	4
higher	4
horizon	4
hour	4
https	4
ill	4
image	4
infrastructure	4
initiative	4
interview	4
join	4
judgments	4
kill	4
knows	4
lambert	4
laws	4
lead	4
leader	4
leaders	4
leading	4
levies	4
liar	4
liberal	4
liberals	4
list	4
living	4
lots	4
low	4
maiden	4
major	4
marketplaces	4
merging	4
ministry	4
month	4
n11	4
n2	4
n4	4
nafta	4
nationalsecuritystrategy	4
navy	4
nbut	4
nex	4
nfor	4
nmid	4
npakistan	4
nwho	4
oligarchs	4
order	4
overdue	4
owner	4
pak	4
panic	4
plunges	4
poorer	4
pork	4
portions	4
possibly	4
predatory	4
pretty	4
previous	4
prices	4
project	4
proud	4
pts	4
rare	4
reasons	4
reassert	4
relationship	4
reporting	4
respond	4
retirement	4
rich	4
rising	4
season	4
senator	4
shipping	4
simply	4
site	4
slam	4
socialist	4
southern	4
spat	4
spending	4
spring	4
spross	4
starting	4
state	4
story	4
subsidize	4
supply	4
supreme	4
ta	4
table	4
tea	4
teach	4
theory	4
told	4
tpp	4
tradewars	4
trading	4
treasury	4
trial	4
troops	4
trust	4
tudou	4
tumbles	4
turkey	4
use	4
ust	4
v	4
views	4
vintage	4
w	4
water	4
wh	4
works	4
worried	4
yufeng	4
00	3
